Item,N.P. ID#,Model #,Internet #,URL,Price per Unit,,,,,,,,
Dementional Lumber,,,,,,,,,,,Take off Calculations,,
2x4x8,00001,,,,,,,,,,Wall Studs,,
2x4x10,00002,2x4-10ft #2/ prime doug fir,300175720,https://www.homedepot.com/p/IDAHO-FOREST-GROUP-2-in-x-4-in-x-10-ft-2-and-Prime-Doug-Fir-Lumber-2x4-10ft-2-prime-doug-fir/300175720,,,,,,,LF,Total,Rnd up
2x4x12,00003,2x4-12 #2/ prime doug fir,202094172,https://www.homedepot.com/p/2-in-x-4-in-x-12-ft-2-and-Prime-Doug-Fir-Lumber-2x4-12-2-prime-doug-fir/300176056,,,,,,2x6x8,16,14,
2x4x14,00004,593960,202094180,https://www.homedepot.com/p/2-in-x-4-in-x-14-ft-Premium-Standard-and-Better-Douglas-Fir-Lumber-593960/202094180,,,,,,2x6x10,12,11,
2x4x16,00005,,,,,,,,,2x6x12,30,24.5,
2x4x20,00006,150932,202094154,https://www.homedepot.com/p/2-in-x-4-in-x-20-ft-Premium-Standard-and-Better-Douglas-Fir-Lumber-150932/202094154,,,,,,,18,15.5,
2x4x8 pt,00007,17463-08,206949446,https://www.homedepot.com/p/2-in-x-4-in-x-8-ft-Hem-Fir-Brown-Stain-Ground-Contact-Pressure-Treated-Lumber-Actual-1-5-in-x-3-5-in-x-96-in-17463-08/206949446,,,,,,,,2,
2x4x10 pt,00008,17463-10,206952293,https://www.homedepot.com/p/2-in-x-4-in-x-10-ft-Hem-Fir-Brown-Stain-Ground-Contact-Pressure-Treated-Lumber-Actual-1-5-in-x-3-5-in-x-120-in-17463-10/206952293,,,,,,,,2,
,00009,,,,,,,,,,,2,
2x4x12 pt,00010,17463-12,206949777,https://www.homedepot.com/p/2-in-x-4-in-x-12-ft-Hem-Fir-Brown-Stain-Ground-Contact-Pressure-Treated-Lumber-Actual-1-5-in-x-3-5-in-x-144-in-17463-12/206949777?MERCH=REC-_-searchViewed-_-NA-_-206949777-_-N&,,,,,,,,2,
2x4x14 pt,00011,,,,,,,,,,,2,
2x6x20,00012,2x6-20 #2/btr prime doug fir,300177786,https://www.homedepot.com/p/2-in-x-6-in-x-20-ft-2-and-Better-Prime-Doug-Fir-Lumber-2x6-20-2-btr-prime-doug-fir/300177786?MERCH=REC-_-searchViewed-_-NA-_-300177786-_-N&#overlay,,,,,,,,2,
2x6x8,00013,2023-8,206019463,/WeatherShield-2-in-x-6-in-x-8-ft-2-Prime-Ground-Contact-Pressure-Treated-Lumber-253921/206967808,,,,,,,,2,
2x6x10,00014,HCF-KDDF-PRIME-2x6x10,206804069,https://www.homedepot.com/p/2-in-x-6-in-x-10-ft-2-and-Better-Prime-Douglas-Fir-Board-HCF-KDDF-PRIME-2x6x10/206804069#product-overview,,,,,,,,2,
2x6x12,00015,HCF-KDDF-PRIME-2x6x12,206804070,,,,,,,,,,
2x6x14,00016,,,,,,,,,,,,
2x6x20,00017,,,,,,,,,,,,
2x6x8 PT,00018,,,,,,,,,,,,
2x6x10 PT,00019,,,,,,,,,,,,
2x6x12 PT,00020,,,,,,,,,,,,
2x6x14 PT,00021,,,,,,,,,,,,
2x6x16 PT,00022,,,,,,,,,,,,
2x6x20 PT,00023,,,,,,,,,,,,
2x8x8,00024,,,,,,,,,,,,
2x8x10,00025,,,,,,,,,,,,
2x8x12,00026,,,,,,,,,,,,
2x8x14,00027,,,,,,,,,,,,
2x8x16,00028,,,,,,,,,,,,
2x8x20,00029,,,,,,,,,,,,
2x8x8 PT,00030,,,,,,,,,,,,
2x8x10 PT,00031,,,,,,,,,,,,
2x8x12 PT,00032,,,,,,,,,,,,
2x8x14 PT,00033,,,,,,,,,,,,
2x8x16 PT,00034,,,,,,,,,,,,
2x8x20 PT,00035,,,,,,,,,,,,
2x10x8,00036,,,,,,,,,,,,
2x10x10,00037,,,,,,,,,,,,
2x10x12,00038,,,,,,,,,,,,
2x10x14,00039,,,,,,,,,,,,
2x10x16,00040,,,,,,,,,,,,
2x10x20,00041,,,,,,,,,,,,
2x10x8 PT,00042,,,,,,,,,,,,
2x10x10 PT,00043,,,,,,,,,,,,
2x10x12 PT,00044,,,,,,,,,,,,
2x10x14 PT,00045,,,,,,,,,,,,
2x10x16 PT,00046,,,,,,,,,,,,
2x10x20 PT,00047,,,,,,,,,,,,
2x12x8,00048,,,,,,,,,,,,
2x12x10,00049,,,,,,,,,,,,
2x12x12,00050,,,,,,,,,,,,
2x12x14,00051,,,,,,,,,,,,
2x12x16,00052,,,,,,,,,,,,
